Trust_Name,Staff_Group,UK_Staff_FTE,Overseas_Staff_FTE,Vacancies_FTE
Airedale NHS Foundation Trust,Doctors,252.8,150.0,3.8
Airedale NHS Foundation Trust,Nurses & Midwives,617.5,273.4,9.2
Airedale NHS Foundation Trust,Support Staff,1794.4,363.0,24.4
Alder Hey Children's NHS Foundation Trust,Doctors,334.0,198.3,5.1
Alder Hey Children's NHS Foundation Trust,Nurses & Midwives,865.3,383.2,12.9
Alder Hey Children's NHS Foundation Trust,Support Staff,1861.4,376.5,25.3
Ashford and St. Peter's Hospitals NHS Foundation Trust,Doctors,444.1,263.7,6.7
Ashford and St. Peter's Hospitals NHS Foundation Trust,Nurses & Midwives,955.0,422.9,14.3
Ashford and St. Peter's Hospitals NHS Foundation Trust,Support Staff,2153.8,435.7,29.3
Avon and Wiltshire Mental Health Partnership NHS Trust,Doctors,181.5,107.8,2.8
Avon and Wiltshire Mental Health Partnership NHS Trust,Nurses & Midwives,951.3,421.2,14.2
Avon and Wiltshire Mental Health Partnership NHS Trust,Support Staff,2550.9,516.0,34.7
"Barking, Havering and Redbridge University Hospitals NHS Trust",Doctors,867.3,514.9,13.2
"Barking, Havering and Redbridge University Hospitals NHS Trust",Nurses & Midwives,1883.2,833.8,28.1
"Barking, Havering and Redbridge University Hospitals NHS Trust",Support Staff,3370.5,681.8,45.8
Barnsley Hospital NHS Foundation Trust,Doctors,301.6,179.0,4.6
Barnsley Hospital NHS Foundation Trust,Nurses & Midwives,861.2,381.3,12.9
Barnsley Hospital NHS Foundation Trust,Support Staff,1904.3,385.2,25.9
Barts Health NHS Trust,Doctors,1999.8,1187.2,30.3
Barts Health NHS Trust,Nurses & Midwives,4051.5,1793.9,60.5
Barts Health NHS Trust,Support Staff,8851.1,1790.4,120.4
Bedfordshire Hospitals NHS Foundation Trust,Doctors,886.4,526.2,13.4
Bedfordshire Hospitals NHS Foundation Trust,Nurses & Midwives,1825.4,808.3,27.3
Bedfordshire Hospitals NHS Foundation Trust,Support Staff,3586.1,725.4,48.8
Berkshire Healthcare NHS Foundation Trust,Doctors,120.1,71.3,1.8
Berkshire Healthcare NHS Foundation Trust,Nurses & Midwives,877.6,388.6,13.1
Berkshire Healthcare NHS Foundation Trust,Support Staff,2668.9,539.9,36.3
Birmingham Community Healthcare NHS Foundation Trust,Doctors,138.2,82.1,2.1
Birmingham Community Healthcare NHS Foundation Trust,Nurses & Midwives,897.9,397.5,13.4
Birmingham Community Healthcare NHS Foundation Trust,Support Staff,2770.6,560.5,37.7
Birmingham Women's and Children's NHS Foundation Trust,Doctors,414.2,245.9,6.3
Birmingham Women's and Children's NHS Foundation Trust,Nurses & Midwives,1350.7,598.1,20.2
Birmingham Women's and Children's NHS Foundation Trust,Support Staff,2461.7,498.0,33.5
Birmingham and Solihull Mental Health NHS Foundation Trust,Doctors,248.5,147.6,3.8
Birmingham and Solihull Mental Health NHS Foundation Trust,Nurses & Midwives,1143.8,506.5,17.1
Birmingham and Solihull Mental Health NHS Foundation Trust,Support Staff,2874.9,581.5,39.1
Black Country Healthcare NHS Foundation Trust,Doctors,136.8,81.2,2.1
Black Country Healthcare NHS Foundation Trust,Nurses & Midwives,753.2,333.5,11.3
Black Country Healthcare NHS Foundation Trust,Support Staff,2010.2,406.6,27.3
Blackpool Teaching Hospitals NHS Foundation Trust,Doctors,422.2,250.7,6.4
Blackpool Teaching Hospitals NHS Foundation Trust,Nurses & Midwives,1622.3,718.3,24.2
Blackpool Teaching Hospitals NHS Foundation Trust,Support Staff,3272.6,662.0,44.5
Bolton NHS Foundation Trust,Doctors,414.0,245.7,6.3
Bolton NHS Foundation Trust,Nurses & Midwives,1346.0,596.0,20.1
Bolton NHS Foundation Trust,Support Staff,2720.3,550.3,37.0
